date,id,measurementUnit,waterAmount
05/21/16,3157732394,FL_OZ,0
05/21/16,3157909651,FL_OZ,0
05/23/16,3192188474,FL_OZ,0
05/23/16,3192504346,FL_OZ,0
05/24/16,3192069814,FL_OZ,0
05/24/16,3192236795,FL_OZ,0
05/25/16,3192401745,FL_OZ,0
05/25/16,3192079881,FL_OZ,0
05/26/16,3192228727,FL_OZ,0
05/26/16,3192230744,FL_OZ,0
05/27/16,3192285072,FL_OZ,0
05/27/16,3192065822,FL_OZ,0
05/28/16,3192079880,FL_OZ,0
05/28/16,3192528444,FL_OZ,0
05/29/16,3192518394,FL_OZ,0
05/29/16,3192244761,FL_OZ,0
07/05/16,3309689544,FL_OZ,24
07/21/16,3359318252,FL_OZ,48
08/23/16,3447219286,FL_OZ,16
08/23/16,3447271674,FL_OZ,8
